Cell_type	Group	GSM4710689_PDAC_TISSUE_1	GSM4710690_PDAC_TISSUE_2	GSM4710691_PDAC_TISSUE_3	GSM4710692_PDAC_TISSUE_4	GSM4710693_PDAC_TISSUE_5	GSM4710694_PDAC_TISSUE_6	GSM4710695_PDAC_TISSUE_7	GSM4710696_PDAC_TISSUE_8	GSM4710697_PDAC_TISSUE_9	GSM4710698_PDAC_TISSUE_10	GSM4710699_PDAC_TISSUE_11A	GSM4710700_PDAC_TISSUE_11B	GSM4710701_PDAC_TISSUE_12	GSM4710702_PDAC_TISSUE_13	GSM4710703_PDAC_TISSUE_14	GSM4710704_PDAC_TISSUE_15	GSM4710705_PDAC_TISSUE_16	GSM4710706_AdjNorm_TISSUE_1	GSM4710707_AdjNorm_TISSUE_2	GSM4710708_AdjNorm_TISSUE_3	GSM4710709_PDAC_PBMC_1	GSM4710710_PDAC_PBMC_2	GSM4710711_PDAC_PBMC_3	GSM4710712_PDAC_PBMC_4	GSM4710713_PDAC_PBMC_5	GSM4710714_PDAC_PBMC_6	GSM4710715_PDAC_PBMC_7	GSM4710716_PDAC_PBMC_8	GSM4710717_PDAC_PBMC_9	GSM4710718_PDAC_PBMC_10A	GSM4710719_PDAC_PBMC_10B	GSM4710720_PDAC_PBMC_11	GSM4710721_PDAC_PBMC_12	GSM4710722_PDAC_PBMC_13	GSM4710723_PDAC_PBMC_14	GSM4710724_PDAC_PBMC_15	GSM4710725_PDAC_PBMC_16	GSM4710726_Healthy_PBMC_1	GSM4710727_Healthy_PBMC_2	GSM4710728_Healthy_PBMC_3	GSM4710729_Healthy_PBMC_4	PDAC_N1	PDAC_N10	PDAC_N11	PDAC_N2	PDAC_N3	PDAC_N4	PDAC_N5	PDAC_N6	PDAC_N7	PDAC_N8	PDAC_N9	PDAC_T1	PDAC_T10	PDAC_T11	PDAC_T12	PDAC_T13	PDAC_T14	PDAC_T15	PDAC_T16	PDAC_T17	PDAC_T18	PDAC_T19	PDAC_T2	PDAC_T20	PDAC_T21	PDAC_T22	PDAC_T23	PDAC_T24	PDAC_T3	PDAC_T4	PDAC_T5	PDAC_T6	PDAC_T7	PDAC_T8	PDAC_T9	PDAC1_biopsy	PDAC1_blood	PDAC10_biopsy	PDAC10_blood	PDAC11_biopsy	PDAC11_blood	PDAC12_biopsy	PDAC12_blood	PDAC2_biopsy	PDAC2_blood	PDAC3_biopsy	PDAC3_blood	PDAC4_biopsy	PDAC4_blood	PDAC5_biopsy	PDAC5_blood	PDAC6_biopsy	PDAC6_blood	PDAC7_biopsy	PDAC7_blood	PDAC8_biopsy	PDAC8_blood	PDAC9_biopsy	PDAC9_blood
T cell CD4 Th17 Activated	T cells	5	2	19	21	15	10	125	42	16	24	0	6	8	28	11	20	3	14	7	1	42	52	9	17	66	16	40	11	21	2	1	16	38	10	16	24	31	35	35	76	8	8	1	0	7	0	0	0	0	6	5	1	3	5	25	25	3	6	18	5	5	8	46	27	6	9	68	7	42	3	17	4	13	8	2	1	24	11	106	14	163	38	126	32	24	33	123	17	72	22	140	69	67	35	92	4	53	19	47	32
T cell CD4 Th2	T cells	16	5	55	27	6	19	100	71	34	30	0	6	12	43	22	25	3	29	3	0	67	108	53	27	70	81	102	37	43	9	16	45	139	61	16	81	238	92	90	268	17	1	0	0	5	0	1	0	0	4	13	0	1	5	42	37	5	3	20	12	12	19	60	40	3	15	45	19	30	10	17	10	5	4	10	6	136	131	336	173	425	522	424	154	138	216	724	300	286	303	462	477	347	183	493	44	188	129	233	279
T cell CD4 Treg	T cells	4	2	25	6	4	25	152	78	8	45	1	12	7	13	10	23	1	6	1	1	48	31	27	11	31	34	67	24	23	3	8	26	47	15	17	37	91	68	38	123	19	2	1	1	1	0	0	0	0	1	3	1	6	7	29	23	2	2	30	10	7	17	77	22	3	18	39	61	19	13	26	11	16	4	19	11	71	61	169	101	600	309	250	72	65	106	494	112	220	138	243	142	252	67	293	19	106	57	98	107
T cell CD4 Treg Activated	T cells	5	2	15	3	4	14	229	73	3	27	1	8	6	12	3	13	5	17	6	2	28	12	19	5	10	8	33	6	13	7	2	16	27	10	9	17	54	21	13	64	4	2	0	0	4	0	0	0	1	5	5	0	6	15	58	17	5	0	88	30	25	21	92	25	4	34	41	146	31	35	52	20	33	9	27	26	61	25	198	59	657	97	279	33	83	49	417	51	289	57	179	48	195	38	331	10	163	22	53	24
T cell CD8 CM Activated	T cells	0	4	10	9	2	3	18	10	18	4	5	5	3	14	5	6	1	32	1	0	23	8	9	23	25	18	46	15	41	18	5	22	29	17	12	59	65	33	17	39	10	4	2	3	8	1	1	0	5	5	4	2	2	5	23	32	4	0	8	11	6	7	34	16	8	16	37	6	35	9	10	10	7	5	9	10	6	138	17	4	9	9	3	3	17	30	4	35	15	17	5	49	4	3	9	3	10	2	5	51
T cell CD8 EM	T cells	19	19	95	63	17	89	323	294	42	102	0	9	17	80	18	59	4	186	85	10	60	54	61	28	80	30	185	28	55	7	4	25	65	49	52	400	89	93	63	273	18	41	2	6	45	6	4	0	6	43	55	2	10	28	214	144	38	10	124	122	36	51	332	109	24	47	69	144	233	55	48	120	81	58	67	37	1274	843	1912	167	770	546	2747	312	447	979	3474	321	844	485	1691	228	1615	294	787	36	429	75	977	790
T cell CD8 EM Activated	T cells	10	3	23	8	2	22	81	99	13	35	0	2	3	18	6	24	1	76	20	0	8	4	17	4	24	3	21	6	13	4	3	3	5	4	7	42	18	13	7	35	4	15	0	3	7	1	0	0	7	9	23	0	0	7	45	45	5	2	25	35	10	17	94	19	13	11	25	38	39	9	17	24	20	12	11	9	364	24	546	25	355	84	568	32	125	130	1746	86	288	48	744	40	411	20	337	5	208	5	500	79
T cell CD8 EMRA	T cells	0	8	23	25	10	18	48	99	30	15	0	6	5	16	11	25	0	49	37	1	50	30	58	35	90	19	210	30	42	1	1	12	46	22	26	437	194	54	57	163	23	16	1	1	20	0	0	0	7	30	25	1	7	5	44	89	43	3	45	15	3	26	80	62	15	13	9	43	62	12	15	13	9	45	3	14	122	966	131	359	61	355	207	734	74	1264	168	677	63	744	134	130	236	592	146	45	68	127	66	1466
T cell CD8 Exhausted	T cells	69	14	52	39	9	71	136	104	57	45	2	19	24	48	9	63	3	139	88	15	16	20	32	44	77	16	24	23	18	18	4	10	28	8	27	66	14	44	24	95	14	22	21	30	22	16	46	29	31	24	26	21	12	28	118	84	40	13	85	99	92	36	226	70	16	41	71	143	150	23	31	156	109	31	136	69	44	4	520	6	151	13	110	6	45	20	501	9	66	12	134	9	60	5	21	2	57	6	21	16
T cell CD8 Naive	T cells	12	0	42	3	2	16	7	10	40	3	0	3	5	12	33	21	0	24	0	0	96	45	23	15	42	35	59	66	15	8	7	20	140	12	32	35	65	174	171	141	31	1	0	0	3	0	0	0	0	1	6	0	0	0	4	24	2	0	3	0	0	5	11	35	0	8	9	2	6	1	5	4	1	5	0	0	11	82	30	37	11	332	43	370	18	81	71	178	12	488	57	175	19	37	16	16	8	68	13	188
